Year,Area of spending sub-category,Observation status,Unit multiplier,Units,SERIES,Value
2015,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,6.189600493
2000,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,18.37674463
2001,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,18.66462353
2002,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,18.34578624
2003,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,17.91102212
2004,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,17.63496124
2005,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,17.61350224
2006,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,17.19755972
2007,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,17.41509072
2008,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,16.77554019
2009,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,17.44932384
2010,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,17.63445187
2011,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,18.39079092
2012,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,19.37262622
2013,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,20.15599914
2014,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,20.32112835
2015,Old age,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,20.62110592
2000,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.419566293
2001,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.434974469
2002,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.427310082
2003,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.382350944
2004,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.352395108
2005,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.274936413
2006,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.284398044
2007,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.287715331
2008,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.259417038
2009,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.367891275
2010,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.283418871
2011,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.168339482
2012,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.138626209
2013,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.143957639
2014,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.143329464
2015,Survivors,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.141353248
2000,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,4.650193078
2001,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,4.727983357
2002,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,4.826288674
2003,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.830543214
2004,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,6.446511593
2005,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,6.326022403
2006,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,6.390935355
2007,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.774258266
2008,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,4.939602246
2009,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.046643112
2010,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,4.80819254
2011,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,4.734399175
2012,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,4.122326034
2013,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.710736487
2014,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.624690353
2015,Family and children,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.46720929
2000,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,1.121433363
2001,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.799392878
2002,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.854395382
2003,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.867183465
2004,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.76124186
2005,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.750084753
2006,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.775661409
2007,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.725543009
2008,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.700938571
2009,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.94771543
2010,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.89261721
2011,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.768701816
2012,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.764892011
2013,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.644657486
2014,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.511262857
2015,Unemployment,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.356190224
2000,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.252156752
2001,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.947109626
2002,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.933401667
2003,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.665344147
2004,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.548307021
2005,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.528030557
2006,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.523990863
2007,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.530849829
2008,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.457912362
2009,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.734635554
2010,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.891243138
2011,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.030507399
2012,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.082629466
2013,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.138250792
2014,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.08076697
2015,Housing,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.053878918
2000,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.87817297
2001,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.788055417
2002,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.64388279
2003,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.515943294
2004,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.308435054
2005,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.033712991
2006,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,1.793612574
2007,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.489046391
2008,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,2.857858827
2009,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.246382632
2010,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.442989917
2011,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.636291506
2012,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.733760378
2013,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.806193652
2014,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.692398137
2015,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,3.801691249
2000,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.002330924
2001,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.007758742
2002,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.00382129
2003,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.001234718
2004,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.001140437
2005,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.001774928
2006,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.000501289
2007,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.000633385
2008,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.001850945
2009,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.000275059
2010,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.000264754
2011,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.001057907
2012,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.000644174
2013,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.000257297
2014,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0
2015,Research and development - social protection,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0
2000,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.869952579
2001,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,1.10440842
2002,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,1.094462277
2003,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,1.143142892
2004,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,1.020121114
2005,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.907698397
2006,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.713835748
2007,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.568463423
2008,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.487083253
2009,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.494005779
2010,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.543009906
2011,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.665555864
2012,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.742603596
2013,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.618155901
2014,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.632232422
2015,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,0.752303696
2000,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,17.19810667
2001,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,18.19998747
2002,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,19.3823553
2003,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,20.19938049
2004,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,21.25898225
2005,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,21.92779266
2006,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,22.60317812
2007,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,23.27682002
2008,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,25.04367671
2009,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,28.3376781
2010,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,28.91882251
2011,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,28.63680448
2012,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,29.09953406
2013,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,28.92871702
2014,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,29.06991488
2015,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,28.9170488
2000,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,3.772786498
2001,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,4.023175475
2002,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,4.315171484
2003,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,4.567010848
2004,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,4.973157058
2005,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,5.20640899
2006,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,5.517877995
2007,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,5.685678862
2008,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,6.204436731
2009,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,7.04723195
2010,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,7.103646874
2011,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,7.043347458
2012,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,7.093032798
2013,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,7.252771185
2014,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,7.461293867
2015,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,7.556054655
2000,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.378310904
2001,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.390191156
2002,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.436527224
2003,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.47020848
2004,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.478479201
2005,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.473955424
2006,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.477328915
2007,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.471175024
2008,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.477185208
2009,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.488077601
2010,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.457120662
2011,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.475154717
2012,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.469757274
2013,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.43981572
2014,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.469534703
2015,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.432828922
2000,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.395469566
2001,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.418990503
2002,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.462748788
2003,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.458432802
2004,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.507023088
2005,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.539293608
2006,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.597360015
2007,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.598513474
2008,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.626966595
2009,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.796377963
2010,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.790500151
2011,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.808850277
2012,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.82924155
2013,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.790897669
2014,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.828906214
2015,Outpatient services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.781209877
2000,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,2.884842817
2001,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,3.075196962
2002,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,3.270928614
2003,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,3.478232943
2004,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,3.823281354
2005,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,4.010571062
2006,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,4.263288013
2007,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,4.431298403
2008,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,4.89899475
2009,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,5.496720393
2010,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,5.566885947
2011,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,5.543221093
2012,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,5.496667305
2013,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,5.569565824
2014,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,5.603746307
2015,Hospital services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,5.678874295
2000,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.009912375
2001,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.011133081
2002,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.011516667
2003,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.012531336
2004,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.013656773
2005,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.018676577
2006,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.016306991
2007,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.014565971
2008,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.016350182
2009,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.023926543
2010,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.031507354
2011,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.029205591
2012,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.030146985
2013,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.15552143
2014,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.204720382
2015,Public health services,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.219829442
2000,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.057970301
2001,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.078998209
2002,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.089856029
2003,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.097731828
2004,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.091537291
2005,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.095829335
2006,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.103840588
2007,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.110724139
2008,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.138176189
2009,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.154120348
2010,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.190100237
2011,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.11069208
2012,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.080638911
2013,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.072204384
2014,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.083340378
2015,Research and development - health,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.16047761
2000,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.046280535
2001,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.048665564
2002,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.043594163
2003,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.049873459
2004,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.059179351
2005,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.068082984
2006,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.059753473
2007,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.059401851
2008,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.046763807
2009,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.088009103
2010,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.067532522
2011,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.0762237
2012,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.186580773
2013,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.224766159
2014,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.271045884
2015,Health - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on health,0.282834508
2000,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",3.451215394
2001,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",3.761181413
2002,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",4.25726282
2003,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",4.234898953
2004,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",4.376134604
2005,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",4.607863495
2006,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",4.912073288
2007,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",5.022699587
2008,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",5.357657373
2009,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",5.865165281
2010,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",6.019958178
2011,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",5.659407294
2012,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",5.469540717
2013,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",5.221555214
2014,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",5.292222359
2015,,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",5.071960786
2000,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.07012629
2001,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.200772782
2002,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.350117737
2003,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.268183819
2004,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.330366574
2005,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.399430514
2006,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.511308607
2007,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.510195326
2008,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.594257084
